#************************************************************************
# 
#    These are data from the COMPASS Collaboration.
#    
#    
#    
# 
#    
# 
#    C. Adolph et al, arXiv:1305.7317 [hep-ex]
# 
#************************************************************************
# 
# h+ multiplicities from COMPASS
# 
# Target: Deuteron (Li6)
# 
#
#  i          mult              stat (+/-)              syst (+/-)              Q2      x         z           Php
 164  1.143154E+00  3.377499E-02  5.715768E-02  1.110000E+00  5.200000E-03  3.750000E-01  4.330127E-01
 165  1.063013E+00  3.319036E-02  5.315067E-02  1.110000E+00  5.200000E-03  3.750000E-01  4.609772E-01
 166  1.014641E+00  3.313910E-02  5.073206E-02  1.110000E+00  5.200000E-03  3.750000E-01  4.873397E-01
 167  9.785838E-01  3.381494E-02  4.892919E-02  1.110000E+00  5.200000E-03  3.750000E-01  5.123475E-01
 168  9.544187E-01  3.431618E-02  4.772093E-02  1.110000E+00  5.200000E-03  3.750000E-01  5.361903E-01
 169  9.190239E-01  3.354102E-02  4.595120E-02  1.110000E+00  5.200000E-03  3.750000E-01  5.590170E-01
 170  8.598023E-01  3.369496E-02  4.299012E-02  1.110000E+00  5.200000E-03  3.750000E-01  5.809475E-01
 171  7.682537E-01  3.130815E-02  3.841269E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.020797E-01
 172  7.432590E-01  3.112475E-02  3.716295E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.224950E-01
 173  6.872199E-01  3.082856E-02  3.436100E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.422616E-01
 174  6.720208E-01  3.042614E-02  3.360104E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.614378E-01
 175  5.794226E-01  2.856309E-02  2.897113E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.800735E-01
 176  6.269944E-01  3.072133E-02  3.134972E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.982120E-01
 177  4.868059E-01  2.720386E-02  2.434030E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.158911E-01
 178  5.205322E-01  2.785947E-02  2.602661E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.331439E-01
 179  5.055000E-01  2.850000E-02  2.527500E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.500000E-01
 180  4.905507E-01  2.759348E-02  2.452754E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.664855E-01
 181  5.008792E-01  2.817446E-02  2.504396E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.826238E-01
 182  4.583022E-01  2.714682E-02  2.291511E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.984360E-01
 183  3.532504E-01  2.441823E-02  1.766252E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.139410E-01
 184  3.880451E-01  2.487469E-02  1.940226E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.291562E-01
 185  3.595854E-01  2.532291E-02  1.797927E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.440972E-01
 186  3.692746E-01  2.576335E-02  1.846373E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.587782E-01
 187  3.457921E-01  2.444995E-02  1.728961E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.732125E-01
 188  2.715481E-01  2.129789E-02  1.357740E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.874120E-01
 189  2.866413E-01  2.343608E-02  1.433207E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.013878E-01
 190  2.690542E-01  2.196361E-02  1.345271E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.151503E-01
 191  2.563236E-01  2.228901E-02  1.281618E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.287088E-01
 192  2.298656E-01  2.072559E-02  1.149328E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.420722E-01
 193  2.751116E-01  2.292597E-02  1.375558E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.552487E-01
 194  2.285060E-01  2.130141E-02  1.142530E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.682458E-01
 195  2.021006E-01  1.962142E-02  1.010503E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.810708E-01
 196  1.729091E-01  1.788715E-02  8.645454E-03  1.110000E+00  5.200000E-03  3.750000E-01  9.937303E-01
 197  2.092960E-01  2.012461E-02  1.046480E-02  1.110000E+00  5.200000E-03  3.750000E-01  1.006231E+00
 198  1.813068E-01  1.833439E-02  9.065339E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.018577E+00
 199  2.040937E-01  2.061553E-02  1.020469E-02  1.110000E+00  5.200000E-03  3.750000E-01  1.030776E+00
