#************************************************************************
# 
#    These are data from the COMPASS Collaboration.
#    
#    
#    
# 
#    
# 
#    C. Adolph et al, arXiv:1305.7317 [hep-ex]
# 
#************************************************************************
# 
# h- multiplicities from COMPASS
# 
# Target: Deuteron (Li6)
# 
#
#  i          mult              stat (+/-)              syst (+/-)              Q2      x         z           Php
 138  3.239632E-01  2.379391E-02  1.619816E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.151503E-01
 139  3.194758E-01  2.414643E-02  1.597379E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.287088E-01
 140  3.033472E-01  2.449388E-02  1.516736E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.420722E-01
 141  3.152321E-01  2.483647E-02  1.576160E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.552487E-01
 142  2.730453E-01  2.323790E-02  1.365227E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.682458E-01
 143  2.609648E-01  2.158356E-02  1.304824E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.810708E-01
 144  2.762570E-01  2.384953E-02  1.381285E-02  1.110000E+00  5.200000E-03  3.250000E-01  9.937303E-01
 145  2.253957E-01  2.012461E-02  1.126978E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.006231E+00
 146  2.240870E-01  2.037155E-02  1.120435E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.018577E+00
 147  2.123399E-01  2.061553E-02  1.061700E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.030776E+00
 148  1.981382E-01  1.877099E-02  9.906910E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.042833E+00
 149  2.046217E-01  2.109502E-02  1.023109E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.054751E+00
 150  1.691527E-01  1.813112E-02  8.457634E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.066536E+00
 151  2.005439E-01  1.940747E-02  1.002719E-02  1.110000E+00  5.200000E-03  3.250000E-01  1.078193E+00
 152  1.582280E-01  1.852532E-02  7.911402E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.089725E+00
 153  1.411656E-01  1.739795E-02  7.058280E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.101136E+00
 154  1.321567E-01  1.668645E-02  6.607833E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.112430E+00
 155  1.325860E-01  1.640471E-02  6.629300E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.123610E+00
 156  1.538627E-01  1.860876E-02  7.693134E-03  1.110000E+00  5.200000E-03  3.250000E-01  1.134681E+00
 157  6.491305E-01  1.341641E-02  3.245653E-02  1.110000E+00  5.200000E-03  3.750000E-01  1.118034E-01
 158  8.563166E-01  1.975222E-02  4.281583E-02  1.110000E+00  5.200000E-03  3.750000E-01  1.936492E-01
 159  1.013500E+00  2.400000E-02  5.067500E-02  1.110000E+00  5.200000E-03  3.750000E-01  2.500000E-01
 160  1.114589E+00  2.780557E-02  5.572947E-02  1.110000E+00  5.200000E-03  3.750000E-01  2.958040E-01
 161  1.158507E+00  3.018692E-02  5.792534E-02  1.110000E+00  5.200000E-03  3.750000E-01  3.354102E-01
 162  1.172501E+00  3.188965E-02  5.862505E-02  1.110000E+00  5.200000E-03  3.750000E-01  3.708099E-01
 163  1.151290E+00  3.224903E-02  5.756452E-02  1.110000E+00  5.200000E-03  3.750000E-01  4.031129E-01
 164  1.027972E+00  3.204294E-02  5.139861E-02  1.110000E+00  5.200000E-03  3.750000E-01  4.330127E-01
 165  1.047340E+00  3.319036E-02  5.236701E-02  1.110000E+00  5.200000E-03  3.750000E-01  4.609772E-01
