x                        Q2                 y       z                  PhT^2              Mult        
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   2.50 [2.35-2.65)   0.0043 +- 0.0016 +- 0.4418
0.2909 [0.2100-0.4000)   22.1 [16.0-81.0)   0.261   0.20 [0.20-0.30)   2.83 [2.65-3.00)   0.0015 +- 0.0009 +- 0.5623
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.09 [0.08-0.10)   5.2219 +- 0.2133 +- 0.0839
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.11 [0.10-0.12)   5.4294 +- 0.2283 +- 0.0846
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.13 [0.12-0.14)   4.5371 +- 0.1948 +- 0.0863
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.16 [0.14-0.17)   4.1230 +- 0.1584 +- 0.0853
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.18 [0.17-0.20)   3.7854 +- 0.1610 +- 0.0868
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.21 [0.20-0.23)   3.1037 +- 0.1272 +- 0.0867
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.25 [0.23-0.27)   2.8112 +- 0.1109 +- 0.0871
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.29 [0.27-0.30)   2.3112 +- 0.1139 +- 0.0907
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.32 [0.30-0.35)   2.0728 +- 0.0849 +- 0.0891
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.38 [0.35-0.40)   1.6730 +- 0.0751 +- 0.0934
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.43 [0.40-0.46)   1.4527 +- 0.0675 +- 0.0933
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.49 [0.46-0.52)   1.0612 +- 0.0569 +- 0.0963
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.56 [0.52-0.60)   0.8773 +- 0.0412 +- 0.0966
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.64 [0.60-0.68)   0.7199 +- 0.0376 +- 0.0995
