x                        Q2                 y       z                  PhT^2              Mult         
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.40 [0.40-0.60)   1.60 [1.52-1.68)   0.0268 +- 0.0017 +- 0.1568
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.40 [0.40-0.60)   1.77 [1.68-1.85)   0.0187 +- 0.0014 +- 0.1691
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.40 [0.40-0.60)   1.95 [1.85-2.05)   0.0135 +- 0.0011 +- 0.1774
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.40 [0.40-0.60)   2.20 [2.05-2.35)   0.0082 +- 0.0007 +- 0.1942
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.40 [0.40-0.60)   2.50 [2.35-2.65)   0.0055 +- 0.0005 +- 0.2130
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.40 [0.40-0.60)   2.83 [2.65-3.00)   0.0026 +- 0.0004 +- 0.2539
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.03 [0.02-0.04)   1.6352 +- 0.0575 +- 0.0742
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.05 [0.04-0.06)   1.6424 +- 0.0588 +- 0.0752
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.07 [0.06-0.08)   1.4284 +- 0.0521 +- 0.0765
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.09 [0.08-0.10)   1.3210 +- 0.0504 +- 0.0775
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.11 [0.10-0.12)   1.3612 +- 0.0526 +- 0.0787
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.13 [0.12-0.14)   1.1670 +- 0.0485 +- 0.0802
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.16 [0.14-0.17)   1.0663 +- 0.0373 +- 0.0801
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.18 [0.17-0.20)   1.0702 +- 0.0411 +- 0.0820
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.21 [0.20-0.23)   0.8482 +- 0.0319 +- 0.0836
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.25 [0.23-0.27)   0.8531 +- 0.0294 +- 0.0842
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.29 [0.27-0.30)   0.7457 +- 0.0328 +- 0.0879
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.32 [0.30-0.35)   0.6104 +- 0.0221 +- 0.0882
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.38 [0.35-0.40)   0.5111 +- 0.0208 +- 0.0922
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.43 [0.40-0.46)   0.4137 +- 0.0170 +- 0.0947
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.49 [0.46-0.52)   0.3766 +- 0.0160 +- 0.0986
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.56 [0.52-0.60)   0.2928 +- 0.0122 +- 0.1016
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.64 [0.60-0.68)   0.2175 +- 0.0110 +- 0.1081
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.72 [0.68-0.76)   0.1941 +- 0.0105 +- 0.1132
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.81 [0.76-0.87)   0.1413 +- 0.0080 +- 0.1192
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   0.94 [0.87-1.00)   0.0966 +- 0.0059 +- 0.1268
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   1.06 [1.00-1.12)   0.0639 +- 0.0050 +- 0.1372
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   1.18 [1.12-1.24)   0.0489 +- 0.0043 +- 0.1485
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   1.31 [1.24-1.38)   0.0295 +- 0.0031 +- 0.1619
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   1.45 [1.38-1.52)   0.0208 +- 0.0024 +- 0.1700
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   1.60 [1.52-1.68)   0.0123 +- 0.0018 +- 0.1901
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   1.77 [1.68-1.85)   0.0149 +- 0.0022 +- 0.1978
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   1.95 [1.85-2.05)   0.0049 +- 0.0010 +- 0.2378
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   2.20 [2.05-2.35)   0.0051 +- 0.0010 +- 0.2381
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   2.50 [2.35-2.65)   0.0019 +- 0.0005 +- 0.2866
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.40 [0.40-0.60)   2.83 [2.65-3.00)   0.0017 +- 0.0005 +- 0.3093
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.03 [0.02-0.04)   0.9144 +- 0.0486 +- 0.0795
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.05 [0.04-0.06)   0.8372 +- 0.0459 +- 0.0806
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.07 [0.06-0.08)   0.8331 +- 0.0454 +- 0.0804
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.09 [0.08-0.10)   0.7910 +- 0.0454 +- 0.0814
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.11 [0.10-0.12)   0.8503 +- 0.0489 +- 0.0820
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.13 [0.12-0.14)   0.7417 +- 0.0437 +- 0.0822
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.16 [0.14-0.17)   0.6828 +- 0.0332 +- 0.0781
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.18 [0.17-0.20)   0.6100 +- 0.0337 +- 0.0802
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.21 [0.20-0.23)   0.5806 +- 0.0288 +- 0.0785
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.25 [0.23-0.27)   0.5441 +- 0.0265 +- 0.0776
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.29 [0.27-0.30)   0.4652 +- 0.0277 +- 0.0816
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.32 [0.30-0.35)   0.4186 +- 0.0210 +- 0.0775
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.38 [0.35-0.40)   0.3896 +- 0.0198 +- 0.0772
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.43 [0.40-0.46)   0.3261 +- 0.0163 +- 0.0763
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.49 [0.46-0.52)   0.2681 +- 0.0151 +- 0.0792
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.56 [0.52-0.60)   0.2113 +- 0.0112 +- 0.0771
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.64 [0.60-0.68)   0.1901 +- 0.0108 +- 0.0781
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.72 [0.68-0.76)   0.1463 +- 0.0092 +- 0.0805
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.81 [0.76-0.87)   0.1138 +- 0.0069 +- 0.0792
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   0.94 [0.87-1.00)   0.1051 +- 0.0066 +- 0.0793
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   1.06 [1.00-1.12)   0.0747 +- 0.0053 +- 0.0822
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   1.18 [1.12-1.24)   0.0526 +- 0.0047 +- 0.0902
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   1.31 [1.24-1.38)   0.0421 +- 0.0037 +- 0.0897
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   1.45 [1.38-1.52)   0.0356 +- 0.0033 +- 0.0919
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   1.60 [1.52-1.68)   0.0234 +- 0.0027 +- 0.1051
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   1.77 [1.68-1.85)   0.0212 +- 0.0024 +- 0.1025
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   1.95 [1.85-2.05)   0.0177 +- 0.0022 +- 0.1060
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   2.20 [2.05-2.35)   0.0115 +- 0.0014 +- 0.1051
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   2.50 [2.35-2.65)   0.0076 +- 0.0011 +- 0.1184
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.40 [0.40-0.60)   2.83 [2.65-3.00)   0.0052 +- 0.0008 +- 0.1287
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.03 [0.02-0.04)   1.0376 +- 0.0314 +- 0.0763
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.05 [0.04-0.06)   0.9162 +- 0.0296 +- 0.0766
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.07 [0.06-0.08)   0.9333 +- 0.0302 +- 0.0771
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.09 [0.08-0.10)   0.8551 +- 0.0286 +- 0.0781
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.11 [0.10-0.12)   0.8457 +- 0.0296 +- 0.0775
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.13 [0.12-0.14)   0.7888 +- 0.0280 +- 0.0779
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.16 [0.14-0.17)   0.7592 +- 0.0225 +- 0.0770
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.18 [0.17-0.20)   0.6639 +- 0.0224 +- 0.0776
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.21 [0.20-0.23)   0.6167 +- 0.0191 +- 0.0769
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.25 [0.23-0.27)   0.5558 +- 0.0168 +- 0.0768
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.29 [0.27-0.30)   0.5216 +- 0.0192 +- 0.0781
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.32 [0.30-0.35)   0.4567 +- 0.0137 +- 0.0768
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.38 [0.35-0.40)   0.4157 +- 0.0132 +- 0.0773
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.43 [0.40-0.46)   0.3521 +- 0.0109 +- 0.0773
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.49 [0.46-0.52)   0.2923 +- 0.0097 +- 0.0781
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.56 [0.52-0.60)   0.2496 +- 0.0080 +- 0.0774
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.64 [0.60-0.68)   0.2118 +- 0.0076 +- 0.0786
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.72 [0.68-0.76)   0.1807 +- 0.0069 +- 0.0792
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.81 [0.76-0.87)   0.1327 +- 0.0050 +- 0.0791
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   0.94 [0.87-1.00)   0.0969 +- 0.0040 +- 0.0805
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   1.06 [1.00-1.12)   0.0760 +- 0.0036 +- 0.0824
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   1.18 [1.12-1.24)   0.0602 +- 0.0032 +- 0.0844
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   1.31 [1.24-1.38)   0.0463 +- 0.0026 +- 0.0851
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   1.45 [1.38-1.52)   0.0342 +- 0.0022 +- 0.0885
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   1.60 [1.52-1.68)   0.0250 +- 0.0018 +- 0.0917
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   1.77 [1.68-1.85)   0.0199 +- 0.0015 +- 0.0940
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   1.95 [1.85-2.05)   0.0164 +- 0.0013 +- 0.0959
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   2.20 [2.05-2.35)   0.0097 +- 0.0008 +- 0.0996
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   2.50 [2.35-2.65)   0.0076 +- 0.0007 +- 0.1032
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.40 [0.40-0.60)   2.83 [2.65-3.00)   0.0055 +- 0.0005 +- 0.1068
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.03 [0.02-0.04)   1.1499 +- 0.0255 +- 0.0771
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.05 [0.04-0.06)   1.1325 +- 0.0257 +- 0.0772
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.07 [0.06-0.08)   1.0238 +- 0.0241 +- 0.0778
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.09 [0.08-0.10)   1.0418 +- 0.0250 +- 0.0786
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.11 [0.10-0.12)   0.9368 +- 0.0235 +- 0.0792
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.13 [0.12-0.14)   0.8863 +- 0.0227 +- 0.0793
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.16 [0.14-0.17)   0.8470 +- 0.0187 +- 0.0796
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.18 [0.17-0.20)   0.7624 +- 0.0191 +- 0.0804
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.21 [0.20-0.23)   0.7082 +- 0.0161 +- 0.0804
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.25 [0.23-0.27)   0.6268 +- 0.0140 +- 0.0810
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.29 [0.27-0.30)   0.5732 +- 0.0153 +- 0.0825
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.32 [0.30-0.35)   0.4931 +- 0.0110 +- 0.0828
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.38 [0.35-0.40)   0.4465 +- 0.0106 +- 0.0834
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.43 [0.40-0.46)   0.3912 +- 0.0090 +- 0.0842
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.49 [0.46-0.52)   0.3297 +- 0.0084 +- 0.0861
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.56 [0.52-0.60)   0.2795 +- 0.0067 +- 0.0868
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.64 [0.60-0.68)   0.2299 +- 0.0060 +- 0.0886
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.72 [0.68-0.76)   0.1822 +- 0.0053 +- 0.0911
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.81 [0.76-0.87)   0.1396 +- 0.0040 +- 0.0930
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   0.94 [0.87-1.00)   0.1109 +- 0.0033 +- 0.0951
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   1.06 [1.00-1.12)   0.0808 +- 0.0029 +- 0.0989
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   1.18 [1.12-1.24)   0.0635 +- 0.0026 +- 0.1030
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   1.31 [1.24-1.38)   0.0474 +- 0.0021 +- 0.1058
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   1.45 [1.38-1.52)   0.0373 +- 0.0019 +- 0.1098
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   1.60 [1.52-1.68)   0.0290 +- 0.0015 +- 0.1137
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   1.77 [1.68-1.85)   0.0217 +- 0.0012 +- 0.1176
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   1.95 [1.85-2.05)   0.0139 +- 0.0009 +- 0.1244
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   2.20 [2.05-2.35)   0.0104 +- 0.0006 +- 0.1275
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   2.50 [2.35-2.65)   0.0067 +- 0.0005 +- 0.1408
0.0427 [0.0320-0.0550)    4.5 [3.0-7.0)   0.363   0.40 [0.40-0.60)   2.83 [2.65-3.00)   0.0037 +- 0.0004 +- 0.1533
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.03 [0.02-0.04)   1.3807 +- 0.0248 +- 0.0757
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.05 [0.04-0.06)   1.3398 +- 0.0248 +- 0.0765
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.07 [0.06-0.08)   1.2426 +- 0.0241 +- 0.0775
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.09 [0.08-0.10)   1.1955 +- 0.0237 +- 0.0781
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.11 [0.10-0.12)   1.1379 +- 0.0231 +- 0.0787
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.13 [0.12-0.14)   1.0733 +- 0.0228 +- 0.0795
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.16 [0.14-0.17)   0.9778 +- 0.0174 +- 0.0797
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.18 [0.17-0.20)   0.8869 +- 0.0181 +- 0.0810
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.21 [0.20-0.23)   0.8228 +- 0.0152 +- 0.0815
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.25 [0.23-0.27)   0.7293 +- 0.0134 +- 0.0829
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.29 [0.27-0.30)   0.6349 +- 0.0143 +- 0.0846
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.32 [0.30-0.35)   0.5737 +- 0.0106 +- 0.0851
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.38 [0.35-0.40)   0.4955 +- 0.0098 +- 0.0870
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.43 [0.40-0.46)   0.4118 +- 0.0081 +- 0.0887
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.49 [0.46-0.52)   0.3635 +- 0.0078 +- 0.0909
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.56 [0.52-0.60)   0.3009 +- 0.0062 +- 0.0928
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.64 [0.60-0.68)   0.2278 +- 0.0055 +- 0.0961
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.72 [0.68-0.76)   0.1906 +- 0.0051 +- 0.0990
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.81 [0.76-0.87)   0.1426 +- 0.0036 +- 0.1029
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   0.94 [0.87-1.00)   0.1106 +- 0.0029 +- 0.1064
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   1.06 [1.00-1.12)   0.0794 +- 0.0026 +- 0.1120
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   1.18 [1.12-1.24)   0.0615 +- 0.0023 +- 0.1166
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   1.31 [1.24-1.38)   0.0426 +- 0.0018 +- 0.1224
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   1.45 [1.38-1.52)   0.0321 +- 0.0015 +- 0.1288
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   1.60 [1.52-1.68)   0.0232 +- 0.0013 +- 0.1366
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   1.77 [1.68-1.85)   0.0160 +- 0.0010 +- 0.1432
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   1.95 [1.85-2.05)   0.0108 +- 0.0007 +- 0.1538
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   2.20 [2.05-2.35)   0.0070 +- 0.0005 +- 0.1605
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   2.50 [2.35-2.65)   0.0048 +- 0.0004 +- 0.1754
0.0752 [0.0550-0.1000)    4.6 [3.0-7.0)   0.213   0.40 [0.40-0.60)   2.83 [2.65-3.00)   0.0028 +- 0.0003 +- 0.1938
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.03 [0.02-0.04)   1.6461 +- 0.0329 +- 0.0733
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.05 [0.04-0.06)   1.5327 +- 0.0318 +- 0.0738
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.07 [0.06-0.08)   1.4897 +- 0.0317 +- 0.0743
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.09 [0.08-0.10)   1.3406 +- 0.0298 +- 0.0749
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.11 [0.10-0.12)   1.3060 +- 0.0297 +- 0.0754
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.13 [0.12-0.14)   1.1253 +- 0.0277 +- 0.0763
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.16 [0.14-0.17)   1.1148 +- 0.0225 +- 0.0761
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.18 [0.17-0.20)   1.0100 +- 0.0233 +- 0.0770
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.21 [0.20-0.23)   0.9542 +- 0.0201 +- 0.0779
0.1326 [0.1000-0.2100)    5.3 [3.0-7.0)   0.137   0.40 [0.40-0.60)   0.25 [0.23-0.27)   0.8124 +- 0.0170 +- 0.0787
